2023 Next Generation MCAS Achievement Results ,,,,,,,,,,,,,,,,,
District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Chelmsford,00560000,SCI,         456,58,         114,14,         342,43,         254,32,          80,10,         790,99,     504,,
Chelsea,00570000,ELA,         440,17,          28,1,         412,16,"       1,128",44,"       1,022",39,"       2,590",99,     478,          45,"       1,898"
Chelsea,00570000,MATH,         443,17,          40,2,         403,16,"       1,178",45,         969,37,"       2,590",99,     479,          44,"       1,900"
Chelsea,00570000,SCI,         141,17,          13,2,         128,15,         376,45,         321,38,         838,99,     478,,
Chesterfield-Goshen,06320000,ELA,          33,45,           3,4,          30,41,          27,36,          14,19,          74,100,     494,          56,          48
Chesterfield-Goshen,06320000,MATH,          31,42,           3,4,          28,38,          30,41,          13,18,          74,100,     494,          44,          48
Chesterfield-Goshen,06320000,SCI,           6,35,           0,0,           6,35,           8,47,           3,18,          17,100,     494,,
Chicopee,00610000,ELA,         868,29,          70,2,         798,27,"       1,301",44,         780,26,"       2,949",99,     486,          48,"       2,176"
Chicopee,00610000,MATH,         782,26,          60,2,         722,24,"       1,481",50,         689,23,"       2,952",99,     487,          48,"       2,177"
Chicopee,00610000,SCI,         324,33,          33,3,         291,30,         440,45,         222,23,         986,98,     489,,
Christa McAuliffe Charter School (District),04180000,ELA,          92,29,          13,4,          79,25,         132,42,          92,29,         316,98,     485,          45,         293
Christa McAuliffe Charter School (District),04180000,MATH,          65,21,           5,2,          60,19,         169,54,          81,26,         315,98,     484,          42,         291
Christa McAuliffe Charter School (District),04180000,SCI,          28,27,           3,3,          25,24,          49,48,          26,25,         103,99,     487,,
Clarksburg,00630000,ELA,          47,39,           5,4,          42,35,          67,55,           7,6,         121,100,     495,          45,         100
Clarksburg,00630000,MATH,          44,36,           2,2,          42,35,          68,56,           9,7,         121,100,     495,          49,         100
Clarksburg,00630000,SCI,          16,36,           0,0,          16,36,          25,56,           4,9,          45,100,     495,,
Clinton,00640000,ELA,         228,27,          15,2,         213,26,         393,47,         214,26,         835,99,     486,          50,         621
Clinton,00640000,MATH,         247,29,          25,3,         222,26,         401,48,         194,23,         842,99,     488,          52,         625
Clinton,00640000,SCI,          68,25,           8,3,          60,22,         137,51,          66,24,         271,99,     486,,
Codman Academy Charter Public (District),04380000,ELA,          11,9,           0,0,          11,9,          75,63,          34,28,         120,96,     477,          54,          93
Codman Academy Charter Public (District),04380000,MATH,          17,14,           0,0,          17,14,          63,53,          39,33,         119,99,     479,          54,          95
Codman Academy Charter Public (District),04380000,SCI,           0,0,           0,0,           0,0,          24,65,          13,35,          37,100,     475,,
Cohasset,00650000,ELA,         425,70,          88,15,         337,56,         152,25,          27,4,         604,100,     509,          57,         479
Cohasset,00650000,MATH,         423,70,          74,12,         349,58,         153,25,          27,4,         603,100,     508,          66,         480
Cohasset,00650000,SCI,         129,65,          20,10,         109,55,          64,32,           4,2,         197,99,     508,,
Collegiate Charter School of Lowell (District),35030000,ELA,         163,25,          10,2,         153,24,         330,51,         156,24,         649,99,     485,          43,         523
Collegiate Charter School of Lowell (District),35030000,MATH,         123,19,          14,2,         109,17,         328,51,         197,30,         648,100,     482,          31,         519
Collegiate Charter School of Lowell (District),35030000,SCI,          52,24,           8,4,          44,20,          97,45,          67,31,         216,100,     483,,
Community Charter School of Cambridge (District),04360000,ELA,          46,46,          13,13,          33,33,          43,43,          12,12,         101,100,     499,          47,          91
Community Charter School of Cambridge (District),04360000,MATH,          30,30,           7,7,          23,23,          61,60,          10,10,         101,100,     494,          53,          92
Community Charter School of Cambridge (District),04360000,SCI,          10,28,           0,0,          10,28,          23,64,           3,8,          36,100,     491,,
Community Day Charter Public School (District),04400000,ELA,         330,45,          36,5,         294,40,         284,39,         116,16,         730,100,     495,          51,         603
Community Day Charter Public School (District),04400000,MATH,         348,48,          41,6,         307,42,         286,39,          96,13,         730,100,     497,          50,         603
Community Day Charter Public School (District),04400000,SCI,         100,41,           8,3,          92,38,         104,43,          37,15,         241,100,     493,,
Concord,00670000,ELA,         958,73,         265,20,         693,53,         297,23,          57,4,"       1,312",99,     512,          60,"       1,028"
Concord,00670000,MATH,         901,68,         207,16,         694,53,         342,26,          73,6,"       1,316",99,     509,          51,"       1,027"
Concord,00670000,SCI,         314,72,          82,19,         232,53,         101,23,          24,5,         439,99,     511,,
Conservatory Lab Charter (District),04390000,ELA,         107,45,          15,6,          92,39,         107,45,          24,10,         238,100,     497,          60,         180
Conservatory Lab Charter (District),04390000,MATH,          70,29,           3,1,          67,28,         132,55,          37,15,         239,100,     488,          61,         180
Conservatory Lab Charter (District),04390000,SCI,          28,42,           7,10,          21,31,          30,45,           9,13,          67,100,     494,,
Conway,00680000,ELA,          43,56,           4,5,          39,51,          29,38,           5,6,          77,100,     501,          49,          51
Conway,00680000,MATH,          42,55,           4,5,          38,49,          30,39,           5,6,          77,100,     502,          52,          52
Conway,00680000,SCI,          12,63,           1,5,          11,58,           6,32,           1,5,          19,100,     505,,
Danvers,00710000,ELA,         708,46,         121,8,         587,38,         600,39,         239,15,"       1,547",99,     497,          50,"       1,210"
