2024-25 Enrollment by Selected Population (District) ,,,,,,,,,,,,,
District Name,District Code,High Needs#,High Needs%,English Learners#,English Learners%,First Language Not English#,First Language Not English%,Low Income#,Low Income%,Students with Disabilities#,Students with Disabilities%,Students with Disabilities#,Students with Disabilities%
Holbrook,01330000,     833,  60.5,     171,  12.7,     392,  29.0,     615,  45.6, , ,     310,  22.5
Holland,01350000,      92,  42.8,       1,   0.5,       3,   1.4,      71,  33.5, , ,      33,  15.3
Holliston,01360000,     818,  30.0,      88,   3.3,     401,  14.9,     299,  11.1, , ,     558,  20.4
Holyoke,01370000,"   4,360",  88.7,     914,  19.1,"   1,674",  34.9,"   4,010",  83.6, , ,"   1,592",  32.4
Holyoke Community Charter (District),04530000,     605,  86.3,      64,   9.1,     193,  27.5,     570,  81.3, , ,     162,  23.1
Hoosac Valley Regional,06030000,     672,  67.0,      16,   1.6,      23,   2.3,     580,  58.1, , ,     257,  25.6
Hopedale,01380000,     438,  39.0,      78,   7.0,     160,  14.4,     249,  22.5, , ,     232,  20.7
Hopkinton,01390000,"   1,234",  29.0,     214,   5.1,     992,  23.5,     317,   7.5, , ,     597,  14.0
Hudson,01410000,"   1,322",  55.9,     424,  18.3,     848,  36.5,     903,  38.9, , ,     497,  21.0
Hull,01420000,     327,  45.2,      11,   1.5,      17,   2.4,     233,  32.7, , ,     161,  22.2
Innovation Academy Charter (District),04350000,     363,  47.1,      20,   2.6,     101,  13.1,     239,  31.0, , ,     162,  21.0
Ipswich,01440000,     565,  35.6,      58,   3.7,     122,   7.8,     304,  19.4, , ,     344,  21.7
King Philip,06900000,     576,  31.1,      32,   1.8,      97,   5.3,     303,  16.6, , ,     367,  19.8
Kingston,01450000,     420,  35.7,     104,   8.9,     113,   9.7,     280,  24.0, , ,     185,  15.7
KIPP Academy Boston Charter School (District),04630000,     543,  84.1,      95,  14.7,     275,  42.6,     499,  77.2, , ,     133,  20.6
KIPP Academy Lynn Charter (District),04290000,"   1,220",  74.5,     289,  17.7,"   1,316",  80.4,"   1,059",  64.7, , ,     264,  16.1
Lawrence,01490000,"  12,358",  92.4,"   5,927",  44.5,"   9,743",  73.2,"  11,282",  84.7, , ,"   2,685",  20.1
Lawrence Family Development Charter (District),04540000,     774,  86.1,     337,  37.5,     670,  74.5,     660,  73.4, , ,      95,  10.6
Learning First Charter Public School (District),04860000,     587,  88.1,     179,  26.9,     395,  59.3,     518,  77.8, , ,     125,  18.8
Lee,01500000,     349,  52.6,      40,   6.1,      73,  11.1,     277,  42.0, , ,     121,  18.2
Leicester,01510000,     709,  53.8,      94,   7.3,     202,  15.6,     522,  40.3, , ,     292,  22.1
Lenox,01520000,     233,  30.1,      25,   3.2,      78,  10.1,     162,  21.0, , ,      86,  11.1
Leominster,01530000,"   4,155",  66.2,     912,  14.7,"   2,042",  33.0,"   3,278",  52.9, , ,"   1,487",  23.7
Leverett,01540000,      49,  35.8,       0,   0.0,       0,   0.0,      27,  19.7, , ,      30,  21.9
Lexington,01550000,"   2,327",  33.9,     515,   7.6,"   2,295",  34.0,     661,   9.8, , ,"   1,011",  14.7
Libertas Academy Charter School (District),35140000,     508,  90.2,      69,  12.3,     118,  21.0,     477,  84.7, , ,     127,  22.6
Lincoln,01570000,     360,  33.7,      41,   3.9,     110,  10.6,     118,  11.4, , ,     254,  23.8
Lincoln-Sudbury,06950000,     454,  30.4,       3,   0.2,      85,   5.9,     131,   9.1, , ,     369,  24.7
Littleton,01580000,     440,  26.3,      20,   1.2,     165,  10.0,     151,   9.1, , ,     306,  18.3
Longmeadow,01590000,     829,  29.7,      30,   1.1,     225,   8.1,     330,  11.9, , ,     571,  20.4
Lowell,01600000,"  12,035",  82.6,"   4,285",  29.6,"   6,599",  45.6,"  10,303",  71.3, , ,"   2,975",  20.4
Lowell Community Charter Public (District),04560000,     697,  85.4,     321,  39.3,     614,  75.2,     531,  65.1, , ,      95,  11.6
Lowell Middlesex Academy Charter (District),04580000,     115,  91.3,       7,   5.6,      11,   8.7,     108,  85.7, , ,      42,  33.3
Ludlow,01610000,"   1,106",  49.6,     146,   6.6,     341,  15.4,     821,  37.1, , ,     448,  20.1
Lunenburg,01620000,     550,  35.0,      55,   3.5,     143,   9.1,     364,  23.3, , ,     248,  15.8
Lynn,01630000,"  14,294",  86.7,"   7,499",  45.8,"  11,981",  73.2,"  12,095",  73.9, , ,"   3,257",  19.7
Lynnfield,01640000,     628,  28.4,      46,   2.1,     255,  11.7,     213,   9.8, , ,     426,  19.3
Ma Academy for Math and Science,04680000,       5,   5.1,       0,   0.0,       0,   0.0,       5,   5.1, , ,       0,   0.0
Malden,01650000,"   4,844",  75.4,"   1,917",  30.2,"   3,845",  60.5,"   3,890",  61.2, , ,"   1,209",  18.8
Manchester Essex Regional,06980000,     365,  30.1,       7,   0.6,      37,   3.1,     153,  12.9, , ,     237,  19.6
Mansfield,01670000,"   1,093",  33.0,     103,   3.1,     272,   8.3,     642,  19.6, , ,     580,  17.5
Map Academy Charter School (District),35170000,     251,  83.4,       3,   1.0,       5,   1.7,     191,  63.5, , ,     161,  53.5
Marblehead,01680000,     767,  29.4,      88,   3.4,     204,   8.0,     300,  11.7, , ,     501,  19.2
